,userID,movieID,rating,datetime
0,1488844,1,3,2005-09-06
1,822109,1,5,2005-05-13
2,885013,1,4,2005-10-19
3,30878,1,4,2005-12-26
4,823519,1,3,2004-05-03
5,893988,1,3,2005-11-17
6,124105,1,4,2004-08-05
7,1248029,1,3,2004-04-22
8,1842128,1,4,2004-05-09
9,2238063,1,3,2005-05-11
10,1503895,1,4,2005-05-19
11,2207774,1,5,2005-06-06
12,2590061,1,3,2004-08-12
13,2442,1,3,2004-04-14
14,543865,1,4,2004-05-28
15,1209119,1,4,2004-03-23
16,804919,1,4,2004-06-10
17,1086807,1,3,2004-12-28
18,1711859,1,4,2005-05-08
19,372233,1,5,2005-11-23
20,1181550,2,3,2004-02-01
21,1227322,2,4,2004-02-06
22,427928,2,4,2004-02-26
23,814701,2,5,2005-09-29
24,808731,2,4,2005-10-31
25,662870,2,5,2005-08-24
26,337541,2,5,2005-03-23
27,786312,2,3,2004-11-16
28,1133214,2,4,2004-03-07
29,1537427,2,4,2004-03-29
30,1209954,2,5,2005-05-09
31,2381599,2,3,2005-09-12
32,525356,2,2,2004-07-11
33,1009622,3,1,2005-01-19
34,1481961,3,2,2005-05-24
35,401047,3,4,2005-06-03
36,2179073,3,3,2004-08-29
37,1434636,3,3,2004-05-01
38,93986,3,5,2005-10-06
39,1308744,3,5,2005-10-29
40,2647871,3,4,2005-12-30
41,1905581,3,5,2005-08-16
42,2508819,3,3,2004-05-18
43,1578279,3,1,2005-05-19
44,1159695,3,4,2005-02-15
45,2588432,3,3,2005-03-31
46,2423091,3,3,2005-09-12
47,470232,3,4,2004-04-08
48,2148699,3,2,2004-06-05
49,1342007,3,3,2004-07-16
50,535396,4,2,2005-02-03
51,494609,4,4,2004-12-08
52,1961619,4,5,2005-06-01
53,883478,4,4,2005-12-16
54,793564,4,4,2004-04-19
55,1567202,4,2,2004-03-01
56,573537,4,4,2005-02-03
57,1972040,4,4,2005-06-02
58,1838912,4,3,2005-11-08
59,411705,4,4,2004-05-11
60,2244518,4,5,2004-09-15
61,584542,4,5,2005-02-01
62,667730,4,5,2005-05-26
63,2488120,4,5,2005-09-20
64,1926776,4,1,2005-10-05
65,314933,5,3,2005-09-12
66,1792741,5,2,2004-02-09
67,769643,5,1,2004-11-18
68,2477242,5,5,2005-01-30
69,1421006,5,3,2005-08-03
70,729846,5,4,2005-08-09
71,1719610,5,2,2005-08-19
72,1696031,5,4,2005-01-25
73,1817215,5,4,2005-09-01
74,406057,5,4,2004-09-27
75,636262,5,1,2005-09-26
76,1245406,5,4,2004-12-30
